vector space	278
linear combination	141
echelon form	96
linear map	94
linear system	91
null space	80
range space	75
scalar multiplication	66
square matrix	61
standard basis	58
real number	47
row operation	43
column vector	40
independent set	40
identity matrix	39
basis b	39
homogeneous system	38
characteristic polynomial	38
direct sum	37
free variable	37
canonical form	37
linear transformation	36
diagonal matrix	36
minimal polynomial	35
unique solution	34
equivalence class	33
vector ⃗v	32
next year	32
basis vector	30
transformation t	30
orthogonal projection	30
dimensional space	29
form matrix	29
b =	29
w =	28
column space	28
matrix equivalence	28
projective plane	28
identity map	27
determinant function	27
right side	26
prior example	26
x -	26
string basis	26
many solution	25
row vector	25
linear relationship	25
external demand	25
second row	24
particular solution	24
equivalence relation	24
⃗v ∈v	24
map h	24
homogeneous coordinate	24
solution set	23
n×n matrix	23
row space	23
inverse image	23
basis matrix	23
similarity class	23
inductive step	22
p =	22
permutation matrix	22
permutation expansion	22
projective point	22
dimensional formula	21
complex number	20
same number	20
same way	20
nonzero vector	20
row equivalence	20
sin θ	20
matrix multiplication	20
dot product	19
magic square	19
nilpotent matrix	19
= −1	18
- axis	18
prior item	18
row rank	18
matrix h	18
coordinate vector	18
third row	17
+ w	17
second component	17
empty set	17
special case	17
⃗v =	17
= ⟨⃗β1	17
dimensionless product	17
row swap	16
z =	16
space v	16
matrix t	16
hand side	15
base step	15
linear surface	15
spanning set	15
elementary matrix	15
transition matrix	15
characteristic equation	15
row combination	14
no .	14
prior subsection	14
c1⃗β1 +	14
v =	14
nonsingular matrix	14
prior section	14
next result	14
trivial subspace	14
independent subset	14
natural number	13
gaussian reduction	13
inductive hypothesis	13
linear independence	13
column rank	13
j entry	13
left inverse	13
linear equation	12
section i.	12
nonzero entry	12
additive inverse	12
entire space	12
majority cycle	12
map t	12
vector product	12
arrow diagram	12
reduction matrix	12
upper triangular	12
right inverse	12
sided inverse	12
similar matrix	12
orthogonal basis	12
projective geometry	12
initial condition	12
ﬁrst chapter	11
linear function	11
bottom equation	11
next subsection	11
ﬁrst component	11
+ ⃗v	11
matrix a	11
many vector	11
homogeneous linear	11
scalar multiple	11
multiplication operation	11
trivial space	11
matrix equation	11
projective line	11
second equation	10
other way	10
ﬁrst equation	10
z −w	10
form version	10
line segment	10
real variable	10
matrix operation	10
quadratic polynomial	10
preference list	10
elementary reduction	10
central projection	10
antipodal spot	10
subdiagonal one	10
x =	9
+ 2y	9
other vector	9
prior paragraph	9
general solution	9
reduced echelon	9
nonzero row	9
canonical representative	9
degree polynomial	9
dimensional vector	9
= c1⃗β1	9
l0m0 t	9
h =	9
triangular matrix	9
matrix similarity	9
good ﬁt	9
odd number	9
left side	8
ﬁrst column	8
| c1	8
th component	8
other row	8
euclidean geometry	8
|⃗u |	8
|⃗v |	8
absolute value	8
vector addition	8
tall vector	8
cubic polynomial	8
d ∈r	8
n vector	8
unit cell	8
voting paradox	8
polynomial p(x	8
matrix representation	8
function composition	8
matrix product	8
orthonormal basis	8
determinant formula	8
expansion formula	8
euclidean plane	8
disjoint string	8
normal mode	8
= d1	7
−z =	7
many element	7
c =	7
r ∈r	7
high dimension	7
unit vector	7
c1 =	7
row reduction	7
auto industry	7
good way	7
usual operation	7
matrix addition	7
rational number	7
nontrivial vector	7
same span	7
original matrix	7
same dimension	7
symmetric matrix	7
linear algebra	7
complete set	7
single point	7
ﬁrst matrix	7
m =	7
diagonal entry	7
t =	7
computer graphic	7
eigenvalue λ	7
distinct eigenvalue	7
other hand	6
true statement	6
combination operation	6
next example	6
contradictory equation	6
many member	6
z ∈r	6
same thing	6
matrix notation	6
next section	6
−c =	6
same row	6
canonical position	6
square root	6
only nonzero	6
class representative	6
upper left	6
other matrix	6
sized matrix	6
voltage drop	6
⃗w =	6
real entry	6
th power	6
wide row	6
+ c3	6
dependent set	6
prior exercise	6
natural basis	6
plane subspace	6
equal row	6
same rank	6
preference order	6
t −1	6
domain vector	6
projection map	6
derivative map	6
homomorphism h	6
p3 →p3	6
w2 vector	6
unit matrix	6
second sentence	6
identity form	6
partial identity	6
orthogonal vector	6
orthogonal complement	6
same result	6
ring failure	6
geometric eﬀect	6
magic number	6
even number	6
similarity diagram	6
geometric multiplicity	6
t −2	6
recurrence relation	6
vertical motion	6
rotational motion	6
second edition	6
ﬁrst example	5
= −2	5
proper subset	5
reduction step	5
positive integer	5
form system	5
matrix entry	5
matrix row	5
low row	5
vector sum	5
scalar product	5
mathematical induction	5
product operation	5
⃗v |	5
second column	5
base case	5
m×n matrix	5
prior result	5
steel industry	5
total output	5
total production	5
upper right	5
= ⃗v	5
number multiplication	5
element set	5
real coeﬃcient	5
b2 sin	5
natural operation	5
inherited operation	5
+ ⃗v2	5
+ ⃗v3	5
proper subspace	5
coeﬃcient c1	5
constant term	5
necessary condition	5
d =	5
other half	5
same vector	5
linear dependence	5
other basis	5
basis b1	5
full column	5
⃗w1 +	5
basis ⟨⃗β1	5
cyclic preference	5
opposite preference	5
space m2×2	5
vertical line	5
basis element	5
matrix p	5
matrix time	5
invertible matrix	5
ﬁrst sentence	5
starting basis	5
equivalent matrix	5
middle class	5
plane ﬁgure	5
|t| =	5
gray line	5
plane z	5
= ptp−1	5
nonzero eigenvector	5
non-⃗0 vector	5
same eigenvalue	5
nilpotent transformation	5
single eigenvalue	5
world population	5
small disk	5
output value	5
same set	4
3z =	4
more equation	4
back substitution	4
wohascum no	4
second line	4
third component	4
vector notation	4
parameter solution	4
prior part	4
ck⃗βk |	4
th row	4
next one	4
⃗β ’s	4
trivial sum	4
same line	4
same direction	4
l =	4
n −1	4
| |⃗v	4
| ⃗u	4
s =	4
matrix g	4
above example	4
double precision	4
partial pivoting	4
parallel portion	4
number addition	4
⃗v2 =	4
+ y1	4
tall column	4
number variable	4
prior one	4
diﬀerential equation	4
linear polynomial	4
usual addition	4
+ ⃗v4	4
same sign	4
nonempty subset	4
third condition	4
same subspace	4
minimal spanning	4
dependent superset	4
diﬀerent order	4
diﬀerent basis	4
ﬁrst half	4
hand matrix	4
full row	4
⃗w1 =	4
second one	4
mock election	4
dimensional analysis	4
relevant quantity	4
image vector	4
isomorphism class	4
domain v	4
second map	4
image set	4
= ⟨x2	4
codomain space	4
output vector	4
such matrix	4
main diagonal	4
third column	4
inverse matrix	4
column operation	4
many people	4
n =	4
same determinant	4
cross product	4
n×n determinant	4
above matrix	4
single entry	4
vector equation	4
random number	4
movie projector	4
= t	4
ˆt =	4
diagonal form	4
⃗β2 =	4
⃗β1 =	4
polynomial factor	4
algebraic multiplicity	4
generalized range	4
p ˆnp−1	4
nilpotent map	4
invariant subspace	4
t −λ	4
random surfer	4
next month	4
few value	4
private communication	4
many example	3
further reading	3
web page	3
stable population	3
high school	3
a1,nxn =	3
other time	3
linear elimination	3
−1 time	3
reduction operation	3
nonzero coeﬃcient	3
z +	3
+ 2w	3
inconsistent system	3
ﬁrst system	3
ﬁrst number	3
ax +	3
same solution	3
n column	3
roman letter	3
top line	3
u ∈r	3
vector operation	3
+ 2b	3
d −e	3
e =	3
| r	3
th entry	3
inﬁnite solution	3
element solution	3
solution ⃗p	3
homogeneous equation	3
original system	3
next row	3
second point	3
right hand	3
low equation	3
ﬁrst way	3
single vector	3
t ∈r	3
ﬁrst section	3
diﬀerent place	3
free vector	3
same change	3
displacement relative	3
direction vector	3
plane subset	3
straight line	3
= |⃗u	3
+ v2	3
inner product	3
ﬁrst vector	3
algebraic property	3
right angle	3
unit cube	3
suﬃcient condition	3
single element	3
many operation	3
same entry	3
th column	3
truck driver	3
large system	3
many way	3
other part	3
steel input	3
auto system	3
for(row_below =	3
= row+1	3
for(col =	3
